Time,ParameterName,ParameterValue
2022-12-01T19:00:00Z,TA_PT1H_MAX,-3.1
2022-12-01T19:00:00Z,TA_PT1H_MIN,-3.2
2022-12-01T19:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T19:00:00Z,WS_PT1H_AVG,1.5
2022-12-01T19:00:00Z,WS_PT1H_MAX,1.9
2022-12-01T19:00:00Z,WS_PT1H_MIN,1.2
2022-12-01T19:00:00Z,WD_PT1H_AVG,127.0
2022-12-01T19:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T19:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T19:00:00Z,PA_PT1H_AVG,1040.7
2022-12-01T19:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T20:00:00Z,TA_PT1H_AVG,-3.1
2022-12-01T20:00:00Z,TA_PT1H_MAX,-3.0
2022-12-01T20:00:00Z,TA_PT1H_MIN,-3.1
2022-12-01T20:00:00Z,RH_PT1H_AVG,99.0
2022-12-01T20:00:00Z,WS_PT1H_AVG,NaN
2022-12-01T20:00:00Z,WS_PT1H_MAX,NaN
2022-12-01T20:00:00Z,WS_PT1H_MIN,NaN
2022-12-01T20:00:00Z,WD_PT1H_AVG,54.0
2022-12-01T20:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T20:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T20:00:00Z,PA_PT1H_AVG,1041.0
2022-12-01T20:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T21:00:00Z,TA_PT1H_AVG,-3.1
2022-12-01T21:00:00Z,TA_PT1H_MAX,-3.1
2022-12-01T21:00:00Z,TA_PT1H_MIN,-3.2
2022-12-01T21:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T21:00:00Z,WS_PT1H_AVG,1.3
2022-12-01T21:00:00Z,WS_PT1H_MAX,1.9
2022-12-01T21:00:00Z,WS_PT1H_MIN,0.9
2022-12-01T21:00:00Z,WD_PT1H_AVG,86.0
2022-12-01T21:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T21:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T21:00:00Z,PA_PT1H_AVG,1041.2
2022-12-01T21:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T22:00:00Z,TA_PT1H_AVG,-3.1
2022-12-01T22:00:00Z,TA_PT1H_MAX,-3.1
2022-12-01T22:00:00Z,TA_PT1H_MIN,-3.2
2022-12-01T22:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T22:00:00Z,WS_PT1H_AVG,1.3
2022-12-01T22:00:00Z,WS_PT1H_MAX,1.9
2022-12-01T22:00:00Z,WS_PT1H_MIN,0.7
2022-12-01T22:00:00Z,WD_PT1H_AVG,108.0
2022-12-01T22:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T22:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T22:00:00Z,PA_PT1H_AVG,1041.3
2022-12-01T22:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T23:00:00Z,TA_PT1H_AVG,-3.1
2022-12-01T23:00:00Z,TA_PT1H_MAX,-3.1
2022-12-01T23:00:00Z,TA_PT1H_MIN,-3.2
2022-12-01T23:00:00Z,RH_PT1H_AVG,98.0
2022-12-01T23:00:00Z,WS_PT1H_AVG,1.3
2022-12-01T23:00:00Z,WS_PT1H_MAX,1.8
2022-12-01T23:00:00Z,WS_PT1H_MIN,0.6
2022-12-01T23:00:00Z,WD_PT1H_AVG,53.0
2022-12-01T23:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T23:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T23:00:00Z,PA_PT1H_AVG,1041.4
2022-12-01T23:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-02T00:00:00Z,TA_PT1H_AVG,-3.1
2022-12-02T00:00:00Z,TA_PT1H_MAX,-3.0
2022-12-02T00:00:00Z,TA_PT1H_MIN,-3.2
2022-12-02T00:00:00Z,RH_PT1H_AVG,98.0
